strategy,run,shard_count,block_count,active_block_count,tx_total,tx_committed,avg_committed_per_active_block,relay_ratio,locked_ratio,migration_block_count,avg_queue_len_global,max_queue_len_global,latency_mean,latency_p50,latency_p95,latency_p99,mig_related_tx_count,mig_related_latency_mean,mig_related_latency_p95,mig_related_latency_p99,migration_window_shard_count,migration_window_tx_total,migration_window_locked_ratio,migration_window_avg_queue_len,migration_window_max_queue_len,migration_window_latency_mean,migration_window_latency_p95,migration_window_latency_p99
Fine-tuned-Lock,run1,2.0,84.0,74.0,29600.0,20000.0,270.27027027027026,0.6486486486486487,0.00125,14.0,937.3928571428571,4917.0,10633.6034,8937.7042,22695.7564,30844.135,902.0,23524.941241685145,37776.0,39721.0,2.0,3909.0,0.009465336403172167,2288.6428571428573,4917.0,14237.911804613297,21808.0,23846.0
Fine-tuned-Lock,run2,2.0,78.0,68.0,29587.0,20000.0,294.11764705882354,0.6480548889715078,0.00037178490553283535,8.0,937.8333333333334,3117.0,10035.6981,8831.7549,23630.43860499999,24664.3475,368.0,16894.309782608696,25617.25,31749.0,2.0,3777.0,0.0029123643102991793,2337.3636363636365,3010.0,12857.307862190813,17810.0,19820.0
Fine-tuned-Lock,run3,2.0,82.0,71.0,29990.0,20000.0,281.6901408450704,0.6662220740246749,0.0008336112037345782,9.0,810.7926829268292,3641.0,9416.61715,7943.24915,20681.78835,22851.83345,462.0,13129.186147186147,23752.0,29657.120000000003,2.0,4276.0,0.005846585594013096,2224.5,3641.0,12163.32824427481,21789.0,23556.40000000022
Fine-tuned-Lock,run4,2.0,84.0,73.0,29306.0,20000.0,273.972602739726,0.6350917900771174,0.0018767487886439636,14.0,973.8452380952381,4224.0,10883.9177,8951.9104,23696.1258,31720.537414,1007.0,25663.41906653426,41775.0,41781.0,2.0,3492.0,0.01575028636884307,2496.3571428571427,4224.0,15257.200870195795,23769.0,25780.0
Fine-tuned-Lock,run5,2.0,82.0,71.0,29999.0,20000.0,281.6901408450704,0.6666222207406913,3.333444448148272e-05,8.0,898.3536585365854,4252.0,10182.83025,9884.4668,21840.8308,25905.5664,457.0,22224.43763676149,25883.0,25884.0,2.0,2402.0,0.00041631973355537054,2219.25,4138.0,12455.031175059952,19887.0,19888.0
SOTA-Lock,run1,2.0,84.0,73.0,29604.0,20000.0,273.972602739726,0.6488312390217538,0.01992973922442913,10.0,922.8690476190476,4970.0,10490.20445,8907.9582,24686.6042,31846.8295,906.0,28875.60264900662,37783.0,37784.0,2.0,2303.0,0.25618758141554493,2347.9,4970.0,11544.59649122807,17824.0,19810.0
SOTA-Lock,run2,2.0,78.0,68.0,29593.0,20000.0,294.11764705882354,0.6483289967221978,0.013313959382286352,7.0,932.9102564102565,3117.0,10058.11705,8909.406,23623.181,30936.43325,370.0,25188.537837837837,31952.0,31952.0,2.0,2464.0,0.1599025974025974,2314.75,2915.0,9952.524122807017,17907.0,17927.0
SOTA-Lock,run3,2.0,81.0,71.0,29993.0,20000.0,281.6901408450704,0.6663554829460208,0.018804387690461107,7.0,822.5802469135803,4047.0,9432.1145,7948.276,19880.659799999983,26159.644,465.0,24251.513978494622,31787.0,31788.0,2.0,2578.0,0.2187742435996897,1596.875,3444.0,8982.62643020595,15826.0,15828.529999999999
SOTA-Lock,run4,2.0,84.0,73.0,29307.0,20000.0,273.972602739726,0.6351383628484663,0.01794793052854267,12.0,967.2738095238095,4400.0,10832.3412,8866.3675,25682.26,31948.758675,1017.0,30149.09144542773,41801.399999999994,41839.0,2.0,2772.0,0.18975468975468976,2523.1666666666665,4400.0,13658.125635103926,21816.0,23825.0
SOTA-Lock,run5,2.0,82.0,71.0,29999.0,20000.0,281.6901408450704,0.6666222207406913,0.004800160005333511,7.0,885.4146341463414,4249.0,10040.8567,8989.133,20863.818,26803.86,457.0,23908.4113785558,25822.0,27817.0,2.0,2500.0,0.0576,2618.125,4249.0,11185.689677843524,21827.0,21831.0
