height,block,tx,mig1,mig2,ann,ns
1,107247,92236,0,0,0,0
2,19057,14597,0,0,0,0
3,73886,63879,0,0,0,0
4,75459,65404,0,0,0,0
5,64952,51626,0,0,0,0
6,75666,62043,0,0,0,0
7,79321,68725,0,0,0,0
8,66503,56003,0,0,0,0
9,66139,57343,0,0,0,0
10,69956,50158,0,0,0,0
11,77109,66071,0,0,0,0
12,66931,53701,0,0,0,0
13,83090,62407,0,0,0,0
14,79097,71921,0,0,0,0
15,73494,68492,0,0,0,0
16,80818,68214,0,0,0,0
17,87807,71049,0,0,0,0
18,64986,54988,0,0,0,0
19,60174,50167,0,0,0,0
20,88054,75503,0,0,0,0
21,55912,45705,0,0,0,0
22,59014,19997,22346,0,0,0
23,60648,19954,15000,8348,0,0
24,78874,24850,0,34026,0,0
25,52834,26930,0,0,13456,0
26,49359,16517,0,0,20838,0
27,78583,61209,0,0,0,3323
28,77538,48861,0,0,0,12523
29,32601,24240,0,0,0,0
30,20456,15157,0,0,0,0
31,24574,16907,0,0,0,0
32,20001,15013,0,0,0,0
33,26437,15768,0,0,0,0
34,29988,19988,0,0,0,0
35,26009,21010,0,0,0,0
36,25214,17620,0,0,0,0
37,20020,14512,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
