timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4106,1,269,125,144,0,125,1780066411106,0,0,0,0,0
6056,2,226,0,0,226,226,1780066413056,0,0,0,0,0
8083,3,285,79,193,13,92,1780066415083,0,0,0,0,0
10087,4,393,86,91,216,302,1780066417087,0,0,0,0,0
12072,5,396,91,72,233,324,1780066419072,0,0,0,0,0
14057,6,310,84,75,151,235,1780066421057,0,0,0,0,0
16124,7,500,176,215,109,285,1780066423124,0,0,0,0,0
18111,8,500,204,166,130,334,1780066425111,0,0,0,0,0
20109,9,500,189,186,125,314,1780066427109,0,0,0,0,0
22093,10,500,198,201,101,299,1780066429093,0,0,0,0,0
24093,11,500,179,107,214,393,1780066431093,0,0,0,0,0
26111,12,500,200,195,105,305,1780066433111,0,0,0,0,0
28083,13,500,183,175,142,325,1780066435083,0,0,0,0,0
30091,14,500,138,161,201,339,1780066437091,0,0,0,0,0
32106,15,500,201,159,140,341,1780066439106,0,0,0,0,0
34084,16,500,142,151,207,349,1780066441084,0,0,0,0,0
36085,17,500,160,138,202,362,1780066443085,0,0,0,0,0
38093,18,500,170,158,172,342,1780066445093,0,0,0,0,0
40070,19,500,153,106,241,394,1780066447070,0,0,0,0,0
42101,20,500,221,250,29,250,1780066449101,0,0,0,0,0
44099,21,500,196,177,127,323,1780066451099,0,0,0,0,0
46086,22,200,116,84,0,116,1780066453086,300,0,0,0,0
48098,23,200,45,9,146,191,1780066455098,80,220,0,0,6
50113,24,200,122,49,29,151,1780066457113,0,299,1,0,18
52093,25,420,156,101,163,319,1780066459093,0,0,80,0,9
54153,26,200,123,77,0,123,1780066461153,0,0,299,1,0
56126,27,433,202,153,78,280,1780066463126,0,0,0,67,0
58163,28,340,162,174,4,166,1780066465163,0,0,0,160,0
60103,29,500,229,208,63,292,1780066467103,0,0,0,0,0
62099,30,500,212,199,89,301,1780066469099,0,0,0,0,0
64107,31,500,258,207,35,293,1780066471107,0,0,0,0,0
66094,32,500,262,238,0,262,1780066473094,0,0,0,0,0
68094,33,500,213,229,58,271,1780066475094,0,0,0,0,0
70115,34,500,241,259,0,241,1780066477115,0,0,0,0,0
72107,35,500,230,203,67,297,1780066479107,0,0,0,0,0
74084,36,500,197,167,136,333,1780066481084,0,0,0,0,0
76034,37,149,2,0,147,149,1780066483034,0,0,0,0,0
78014,38,0,0,0,0,0,1780066485014,0,0,0,0,0
80024,39,0,0,0,0,0,1780066487024,0,0,0,0,0
82021,40,0,0,0,0,0,1780066489021,0,0,0,0,0
84009,41,0,0,0,0,0,1780066491009,0,0,0,0,0
86016,42,0,0,0,0,0,1780066493016,0,0,0,0,0
