blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,500,0,0,0,0,0
2,185,0,0,0,0,0
3,500,0,0,0,0,0
4,500,0,0,0,0,0
5,500,0,0,0,0,0
6,500,0,0,0,0,0
7,500,0,0,0,0,0
8,500,0,0,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,2524,0,0,0
17,500,0,0,0,0,0
18,500,0,4993,0,0,0
19,500,0,0,0,0,0
20,500,0,0,0,0,0
21,500,0,0,0,0,0
22,200,300,5003,0,0,0
23,200,300,15664,0,0,0
24,200,300,21201,0,0,0
25,200,300,39121,124,5069,5069
26,258,242,40666,128,1587,2111
27,324,176,25476,176,4990,4990
28,354,146,27157,0,0,0
29,500,0,0,0,0,0
30,500,0,0,0,0,0
31,500,0,0,0,0,0
32,500,0,0,0,0,0
33,500,0,0,0,0,0
34,500,0,0,0,0,0
35,500,0,0,0,0,0
36,496,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
