height,block,tx,mig1,mig2,ann,ns
1,47646,39273,0,0,0,0
2,25520,12990,0,0,0,0
3,50173,39999,0,0,0,0
4,47942,38068,0,0,0,0
5,50596,40004,0,0,0,0
6,47725,37707,0,0,0,0
7,83635,72226,0,0,0,0
8,79236,67360,0,0,0,0
9,75777,63706,0,0,0,0
10,72737,64215,0,0,0,0
11,63812,48132,0,0,0,0
12,76403,62134,0,0,0,0
13,63974,46866,0,0,0,0
14,82482,70593,0,0,0,0
15,92657,77080,0,0,0,0
16,65530,54609,0,0,0,0
17,73380,60824,0,0,0,0
18,57567,47567,0,0,0,0
19,56742,44421,0,0,0,0
20,93110,82142,0,0,0,0
21,89234,77435,0,0,0,0
22,55814,22958,17492,0,0,0
23,54379,16126,3031,16507,0,0
24,77000,26037,0,29926,0,0
25,60001,44999,0,0,5003,0
26,65833,29577,0,0,21544,0
27,76833,66879,0,0,0,0
28,87238,75965,0,0,0,0
29,72537,62690,0,0,0,0
30,81875,71092,0,0,0,0
31,84458,74301,0,0,0,0
32,76214,66320,0,0,0,0
33,80259,75256,0,0,0,0
34,67780,55061,0,0,0,0
35,77715,72719,0,0,0,0
36,55618,44875,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
