timestamp,blockHeight,tx_total,tx_normal,tx_relay_sender,tx_relay_receiver,tx_committed,pbfttime,mig1,mig2,ann,ns,locked_txs
4151,1,500,248,252,0,248,1780066206151,0,0,0,0,0
6064,2,247,91,109,47,138,1780066208064,0,0,0,0,0
8106,3,500,250,250,0,250,1780066210106,0,0,0,0,0
10115,4,484,216,154,114,330,1780066212115,0,0,0,0,0
12081,5,404,87,55,262,349,1780066214081,0,0,0,0,0
14062,6,293,79,82,132,211,1780066216062,0,0,0,0,0
16076,7,418,108,64,246,354,1780066218076,0,0,0,0,0
18073,8,436,119,100,217,336,1780066220073,0,0,0,0,0
20093,9,500,187,186,127,314,1780066222093,0,0,0,0,0
22103,10,500,196,210,94,290,1780066224103,0,0,0,0,0
24096,11,500,188,187,125,313,1780066226096,0,0,0,0,0
26089,12,500,131,88,281,412,1780066228089,0,0,0,0,0
28130,13,500,115,87,298,413,1780066230130,0,0,0,0,0
30106,14,500,202,162,136,338,1780066232106,0,0,0,0,0
32093,15,500,142,141,217,359,1780066234093,0,0,0,0,0
34077,16,500,134,96,270,404,1780066236077,0,0,0,0,0
36077,17,500,184,136,180,364,1780066238077,0,0,0,0,0
38094,18,500,149,165,186,335,1780066240094,0,0,0,0,0
40110,19,500,228,238,34,262,1780066242110,0,0,0,0,0
42078,20,500,174,142,184,358,1780066244078,0,0,0,0,0
44081,21,500,141,142,217,358,1780066246081,0,0,0,0,0
46082,22,200,112,88,0,112,1780066248082,300,0,0,0,0
48088,23,300,170,130,0,170,1780066250088,169,31,0,0,0
50102,24,500,230,230,40,270,1780066252102,0,0,0,0,143
52137,25,200,93,107,0,93,1780066254137,0,0,300,0,0
54107,26,331,124,107,100,224,1780066256107,0,0,169,0,0
56099,27,500,238,262,0,238,1780066258099,0,0,0,0,0
58102,28,500,184,144,172,356,1780066260102,0,0,0,0,0
60100,29,500,269,231,0,269,1780066262100,0,0,0,0,0
62100,30,500,173,168,159,332,1780066264100,0,0,0,0,0
64136,31,500,252,248,0,252,1780066266136,0,0,0,0,0
66123,32,500,212,219,69,281,1780066268123,0,0,0,0,0
68226,33,500,241,247,12,253,1780066270226,0,0,0,0,0
70112,34,500,257,243,0,257,1780066272112,0,0,0,0,0
72050,35,295,94,68,133,227,1780066274050,0,0,0,0,0
74002,36,0,0,0,0,0,1780066276002,0,0,0,0,0
76013,37,0,0,0,0,0,1780066278013,0,0,0,0,0
78008,38,0,0,0,0,0,1780066280008,0,0,0,0,0
80019,39,0,0,0,0,0,1780066282019,0,0,0,0,0
82019,40,0,0,0,0,0,1780066284019,0,0,0,0,0
84013,41,0,0,0,0,0,1780066286013,0,0,0,0,0
