blockHeight,tx_total,mig_total,mig_time,ann_total,ann_pool_time,ann_time
1,500,0,0,0,0,0
2,247,0,0,0,0,0
3,500,0,0,0,0,0
4,484,0,0,0,0,0
5,404,0,0,0,0,0
6,293,0,0,0,0,0
7,418,0,0,0,0,0
8,436,0,0,0,0,0
9,500,0,0,0,0,0
10,500,0,0,0,0,0
11,500,0,0,0,0,0
12,500,0,0,0,0,0
13,500,0,0,0,0,0
14,500,0,0,0,0,0
15,500,0,0,0,0,0
16,500,0,0,0,0,0
17,500,0,0,0,0,0
18,500,0,994,0,0,0
19,500,0,0,0,0,0
20,500,0,1001,0,0,0
21,500,0,0,0,0,0
22,200,300,4713,0,0,0
23,300,200,6004,0,0,0
24,500,0,0,0,0,0
25,200,300,43077,300,2001,3001
26,331,169,23142,169,2141,2141
27,500,0,0,0,0,0
28,500,0,0,0,0,0
29,500,0,507,0,0,0
30,500,0,0,0,0,0
31,500,0,0,0,0,0
32,500,0,0,0,0,0
33,500,0,0,0,0,0
34,500,0,0,0,0,0
35,295,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,20,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
