order,ts,shard,event,mode,flow,addr,start_n,end_n,ok,reason,bytes,summary
1,1780903014149,S0,send,delta,S0 → S1,,0,0,1,batch=3,750,源片发出 State_ini | batch=3
2,1780903014149,S1,recv,delta,S0 → S1,,0,0,1,batch=3,750,目标片收到 State_ini | batch=3
3,1780903016212,S1,apply,delta,S1 本地,f341cafc9ba3d91ef98c9ef811170c1c5f1ef28e,0,1,1,nonce=1,0,目标片应用 State_ini | addr=f341cafc9ba3… | nonce 0→1 | nonce=1
4,1780903016214,S1,apply,delta,S1 本地,96904d8c1f1c88dfb6cfba916396bf4beabcf454,0,1,1,nonce=1,0,目标片应用 State_ini | addr=96904d8c1f1c… | nonce 0→1 | nonce=1
5,1780903016215,S1,apply,delta,S1 本地,9e9ff119553d7ad5d40d1cd4c39aba4901955470,1,2,1,nonce=2,0,目标片应用 State_ini | addr=9e9ff119553d… | nonce 1→2 | nonce=2
6,1780903018179,S0,recv,delta,,,0,0,1,,314,目标片收到 State_ini
7,1780903018179,S0,recv,delta,,,0,0,1,,314,目标片收到 State_ini
8,1780903018179,S0,recv,delta,,,0,0,1,,314,目标片收到 State_ini
9,1780903018179,S1,ack_send,delta,S1 → S0,96904d8c1f1c88dfb6cfba916396bf4beabcf454,1,2,1,,314,目标片发出 ack | addr=96904d8c1f1c… | nonce 1→2
10,1780903018179,S1,ack_send,delta,S1 → S0,9e9ff119553d7ad5d40d1cd4c39aba4901955470,2,3,1,,314,目标片发出 ack | addr=9e9ff119553d… | nonce 2→3
11,1780903018179,S1,ack_send,delta,S1 → S0,f341cafc9ba3d91ef98c9ef811170c1c5f1ef28e,1,2,1,,314,目标片发出 ack | addr=f341cafc9ba3… | nonce 1→2
12,1780903018180,S0,ack_recv,delta,S1 → S0,f341cafc9ba3d91ef98c9ef811170c1c5f1ef28e,1,2,1,nonce=2,0,源片收到 ack | addr=f341cafc9ba3… | nonce 1→2 | nonce=2
13,1780903018181,S0,ack_recv,delta,S1 → S0,96904d8c1f1c88dfb6cfba916396bf4beabcf454,1,2,1,nonce=2,0,源片收到 ack | addr=96904d8c1f1c… | nonce 1→2 | nonce=2
14,1780903018181,S0,ack_recv,delta,S1 → S0,9e9ff119553d7ad5d40d1cd4c39aba4901955470,2,3,1,nonce=3,0,源片收到 ack | addr=9e9ff119553d… | nonce 2→3 | nonce=3
